         買超概算   區間漲幅       代號            分類
[['TWSE', '很強'], ['TWSE', '上漲ing'], ['TWSE', '緩緩上漲'], ['TWSE', '緩緩下跌'], ['TWSE', '下跌ing'], ['TWSE', '很弱'], ['很強', '力山'], ['很強', '堤維西'], ['緩緩下跌', '美時'], ['緩緩上漲', '廷鑫'], ['緩緩上漲', '漢唐-◎'], ['上漲ing', '聯陽'], ['緩緩下跌', '智原-◎'], ['緩緩上漲', '精確'], ['緩緩上漲', '威剛-◎'], ['緩緩上漲', '欣銓-◎'], ['緩緩上漲', '智易'], ['緩緩上漲', '太景*-KY'], ['緩緩下跌', '冠星-KY'], ['緩緩上漲', '力達-KY'], ['緩緩上漲', '致伸'], ['緩緩上漲', '臻鼎-KY-◎'], ['緩緩上漲', '信驊-●'], ['很強', '美而快'], ['緩緩上漲', '創惟'], ['緩緩上漲', '瑞儀-◎'], ['上漲ing', '佳邦'], ['緩緩上漲', '樺漢-◎'], ['很強', '訊芯-KY'], ['緩緩上漲', '長科*'], ['上漲ing', '矽創'], ['緩緩上漲', '南電-●'], ['緩緩上漲', '群聯-●'], ['緩緩下跌', '紅木-KY'], ['緩緩上漲', '威宏-KY'], ['緩緩上漲', '鈺齊-KY'], ['力山', '2.83(億)'], ['堤維西', '3.33(億)'], ['美時', '-3.35(億)'], ['廷鑫', '0.51(億)'], ['漢唐-◎', '8.45(億)'], ['聯陽', '5.52(億)'], ['智原-◎', '13.57(億)'], ['精確', '0.43(億)'], ['威剛-◎', '8.56(億)'], ['欣銓-◎', '10.3(億)'], ['智易', '6.63(億)'], ['太景*-KY', '0.01(億)'], ['冠星-KY', '-0.14(億)'], ['力達-KY', '0.15(億)'], ['致伸', '8.84(億)'], ['臻鼎-KY-◎', '-1.4(億)'], ['信驊-●', '8.18(億)'], ['美而快', '1.29(億)'], ['創惟', '3.97(億)'], ['瑞儀-◎', '7.98(億)'], ['佳邦', '1.9(億)'], ['樺漢-◎', '5.28(億)'], ['訊芯-KY', '-1.19(億)'], ['長科*', '0.18(億)'], ['矽創', '16.89(億)'], ['南電-●', '11.2(億)'], ['群聯-●', '19.26(億)'], ['紅木-KY', '-0.13(億)'], ['威宏-KY', '0.22(億)'], ['鈺齊-KY', '7.11(億)']]
         買超概算   區間漲幅       代號            分類
0    2.830813  27.44       力山         傳產-電機
1    3.331373  22.96      堤維西      傳產-汽車零組件
2   -3.352870  -0.40       美時         傳產-生技
3    0.505527   1.16       廷鑫      電子下游-顯示器
4    8.449581   2.17     漢唐-◎   電子中游-儀器設備工程
5    5.518017  13.59       聯陽    電子上游-IC-設計
6   13.565438  -3.52     智原-◎    電子上游-IC-設計
7    0.428941   6.03       精確        傳產-自行車
8    8.560166   2.25     威剛-◎   電子上游-DRAM銷售
9   10.296497   5.08     欣銓-◎    電子上游-IC-封測
10   6.631986   8.95       智易       電子中游-網通
11   0.010515   0.67   太景*-KY         傳產-生技
12  -0.136831  -5.30    冠星-KY       傳產-紡織纖維
13   0.146047   1.74    力達-KY         傳產-電機
14   8.844555   5.12       致伸     電子下游-手機製造
