         買超概算   區間漲幅       代號            分類
4           傳產-觀光   緩緩下跌    美食-KY   -1.67(億)
5           軟體-遊戲  上漲ing       華義    0.18(億)
6       電子上游-連接元件  上漲ing       優群   15.21(億)
7   電子中游-NB與手機零組件   緩緩上漲     雙鴻-◎   11.04(億)
8   電子中游-NB與手機零組件  上漲ing    新日興-◎    6.84(億)
9      電子上游-IC-設計  上漲ing     力旺-●    8.68(億)
10     電子上游-IC-設計   緩緩上漲    世芯-KY   12.33(億)
11   電子上游-LED及光元件   緩緩下跌       德微    -1.2(億)
12        傳產-化學工業   緩緩上漲     上緯投控    2.36(億)
13     電子上游-IC-封測   緩緩上漲  日月光投控-◎   17.74(億)
14          傳產-生技   緩緩下跌   太景*-KY    0.14(億)
15        傳產-化學工業  下跌ing    材料-KY   -7.18(億)
16     電子下游-商業自動化   緩緩上漲       虹堡    4.69(億)
17  電子上游-PCB-材料設備   緩緩下跌       建榮   -0.12(億)
18    電子上游-PCB-製造   緩緩下跌       高技    4.32(億)
19          傳產-百貨   緩緩下跌       全家   -1.18(億)
20    電子中游-儀器設備工程     很強       擎邦    2.86(億)
21     電子上游-IC-設計   緩緩上漲       茂達     3.3(億)
22     電子上游-IC-其他   緩緩上漲       旺矽   14.65(億)
23     電子上游-IC-設計  上漲ing   矽力*-KY    1.54(億)
24      電子中游-通訊設備   緩緩上漲       統新    0.77(億)
25     電子上游-IC-設計   緩緩上漲      愛普*    8.78(億)
26        軟體-系統整合  上漲ing     台灣銘板    0.71(億)
27      電子中游-通訊設備     很強       榮群    0.56(億)
28     電子上游-IC-代工  上漲ing    宏捷科-◎    13.1(億)
29        電子中游-機殼   緩緩上漲       勤誠    5.91(億)
30          傳產-其他   緩緩上漲    紅木-KY   -0.07(億)
    node1    node2      node3          node4
0    緩緩下跌       耿鼎    1.12(億)       傳產-汽車零組件
1    緩緩上漲       中砂    6.68(億)          傳產-電機
2    緩緩下跌     美時-◎  -16.82(億)          傳產-生技
3    緩緩上漲     義隆-◎    7.41(億)     電子上游-IC-設計
4    緩緩下跌    美食-KY   -1.67(億)          傳產-觀光
5   上漲ing       華義    0.18(億)          軟體-遊戲
6   上漲ing       優群   15.21(億)      電子上游-連接元件
7    緩緩上漲     雙鴻-◎   11.04(億)  電子中游-NB與手機零組件
8   上漲ing    新日興-◎    6.84(億)  電子中游-NB與手機零組件
9   上漲ing     力旺-●    8.68(億)     電子上游-IC-設計
10   緩緩上漲    世芯-KY   12.33(億)     電子上游-IC-設計
11   緩緩下跌       德微    -1.2(億)   電子上游-LED及光元件
12   緩緩上漲     上緯投控    2.36(億)        傳產-化學工業
13   緩緩上漲  日月光投控-◎   17.74(億)     電子上游-IC-封測
14   緩緩下跌   太景*-KY    0.14(億)          傳產-生技
15  下跌ing    材料-KY   -7.18(億)        傳產-化學工業
16   緩緩上漲       虹堡    4.69(億)     電子下游-商業自動化
17   緩緩下跌       建榮   -0.12(億)  電子上游-PCB-材料設備
18   緩緩下跌       高技    4.32(億)    電子上游-PCB-製造
19   緩緩下跌       全家   -1.18(億)          傳產-百貨
20     很強       擎邦    2.86(億)    電子中游-儀器設備工程
21   緩緩上漲       茂達     3.3(億)     電子上游-IC-設計
22   緩緩上漲       旺矽   14.65(億)     電子上游-IC-其他
23  上漲ing   矽力*-KY    1.54(億)     電子上游-IC-設計
24   緩緩上漲       統新    0.77(億)      電子中游-通訊設備
25   緩緩上漲      愛普*    8.78(億)     電子上游-IC-設計
26  上漲ing     台灣銘板    0.71(億)        軟體-系統整合
27     很強       榮群    0.56(億)      電子中游-通訊設備
28  上漲ing    宏捷科-◎    13.1(億)     電子上游-IC-代工
29   緩緩上漲       勤誠    5.91(億)        電子中游-機殼
30   緩緩上漲    紅木-KY   -0.07(億)          傳產-其他
[['TWSE', '很強'], ['TWSE', '上漲ing'], ['TWSE', '緩緩上漲'], ['TWSE', '緩緩下跌'], ['TWSE', '下跌ing'], ['TWSE', '很弱'], ['緩緩下跌', '耿鼎'], ['緩緩上漲', '中砂'], ['緩緩下跌', '美時-◎'], ['緩緩上漲', '義隆-◎'], ['緩緩下跌', '美食-KY'], ['上漲ing', '華義'], ['上漲ing', '優群'], ['緩緩上漲', '雙鴻-◎'], ['上漲ing', '新日興-◎'], ['上漲ing', '力旺-●'], ['緩緩上漲', '世芯-KY'], ['緩緩下跌', '德微'], ['緩緩上漲', '上緯投控'], ['緩緩上漲', '日月光投控-◎'], ['緩緩下跌', '太景*-KY'], ['下跌ing', '材料-KY'], ['緩緩上漲', '虹堡'], ['緩緩下跌', '建榮'], ['緩緩下跌', '高技'], ['緩緩下跌', '全家'], ['很強', '擎邦'], ['緩緩上漲', '茂達'], ['緩緩上漲', '旺矽'], ['上漲ing', '矽力*-KY'], ['緩緩上漲', '統新'], ['緩緩上漲', '愛普*'], ['上漲ing', '台灣銘板'], ['很強', '榮群'], ['上漲ing', '宏捷科-◎'], ['緩緩上漲', '勤誠'], ['緩緩上漲', '紅木-KY'], ['耿鼎', '1.12(億)'], ['中砂', '6.68(億)'], ['美時-◎', '-16.82(億)'], ['義隆-◎', '7.41(億)'], ['美食-KY', '-1.67(億)'], ['華義', '0.18(億)'], ['優群', '15.21(億)'], ['雙鴻-◎', '11.04(億)'], ['新日興-◎', '6.84(億)'], ['力旺-●', '8.68(億)'], ['世芯-KY', '12.33(億)'], ['德微', '-1.2(億)'], ['上緯投控', '2.36(億)'], ['日月光投控-◎', '17.74(億)'], ['太景*-KY', '0.14(億)'], ['材料-KY', '-7.18(億)'], ['虹堡', '4.69(億)'], ['建榮', '-0.12(億)'], ['高技', '4.32(億)'], ['全家', '-1.18(億)'], ['擎邦', '2.86(億)'], ['茂達', '3.3(億)'], ['旺矽', '14.65(億)'], ['矽力*-KY', '1.54(億)'], ['統新', '0.77(億)'], ['愛普*', '8.78(億)'], ['台灣銘板', '0.71(億)'], ['榮群', '0.56(億)'], ['宏捷科-◎', '13.1(億)'], ['勤誠', '5.91(億)'], ['紅木-KY', '-0.07(億)']]
         買超概算   區間漲幅       代號             分類
0    3.072207  34.95       力山          傳產-電機
1  -11.665331  -2.05     美時-◎          傳產-生技
2   24.224313  16.00    金像電-◎    電子上游-PCB-製造
3   12.204657   6.41   京元電子-◎     電子上游-IC-封測
4   -2.085794  -3.63    美食-KY          傳產-觀光
5   41.652356 -15.49     文曄-◎     電子上游-IC-通路
6    0.137816   1.79       華義          軟體-遊戲
7    0.979527   1.29       聯傑     電子上游-IC-設計
8    4.768436   3.36       優群      電子上游-連接元件
9    0.788702  15.90       宇環    電子上游-PCB-製造
10  11.260956   6.16     雙鴻-◎  電子中游-NB與手機零組件
11   6.024792   9.76    新日興-◎  電子中游-NB與手機零組件
12   8.556968  10.32     力旺-●     電子上游-IC-設計
13  11.614703   8.20       敦泰     電子上游-IC-設計
14   1.755111  14.94       通嘉     電子上游-IC-設計
15  -0.738250   2.13       德微   電子上游-LED及光元件
16   2.287539   5.79     上緯投控        傳產-化學工業
17  23.819138   5.11  日月光投控-◎     電子上游-IC-封測
18   1.598715  23.07       聯合          傳產-生技
19   0.028538  -6.07   太景*-KY          傳產-生技
20  -8.315881  -7.79    材料-KY        傳產-化學工業
21   3.602627   2.47       虹堡     電子下游-商業自動化
22  11.579657   6.96     信驊-●     電子上游-IC-設計
23  -0.168776  -3.38       建榮  電子上游-PCB-材料設備
24   3.594694  -1.21       高技    電子上游-PCB-製造
25  -1.248902  -1.09       全家          傳產-百貨
26   4.218738  39.40       擎邦    電子中游-儀器設備工程
27   6.092201   8.51       茂達     電子上游-IC-設計
28  12.148813   4.45       旺矽     電子上游-IC-其他
29   1.559956   6.94       系微     電子上游-IC-其他
30   2.605178  12.18   矽力*-KY     電子上游-IC-設計
31   2.004576   5.88       迅得    電子中游-儀器設備工程
32  -2.227515   6.97    訊芯-KY     電子上游-IC-封測
33   6.299089   2.98      愛普*     電子上游-IC-設計
34   0.469666  12.73       榮群      電子中游-通訊設備
35  12.069255   9.17    宏捷科-◎     電子上游-IC-代工
36   7.362088   6.61       勤誠        電子中游-機殼
37  -0.067075   5.32    紅木-KY          傳產-其他
38   1.520995  13.24       泰銘          傳產-鋼鐵
         買超概算       代號             分類  node1
0    3.072207       力山          傳產-電機     很強
1  -11.665331     美時-◎          傳產-生技   緩緩下跌
2   24.224313    金像電-◎    電子上游-PCB-製造  上漲ing
3   12.204657   京元電子-◎     電子上游-IC-封測   緩緩上漲
4   -2.085794    美食-KY          傳產-觀光   緩緩下跌
5   41.652356     文曄-◎     電子上游-IC-通路  下跌ing
6    0.137816       華義          軟體-遊戲   緩緩上漲
7    0.979527       聯傑     電子上游-IC-設計   緩緩上漲
8    4.768436       優群      電子上游-連接元件   緩緩上漲
9    0.788702       宇環    電子上游-PCB-製造  上漲ing
10  11.260956     雙鴻-◎  電子中游-NB與手機零組件   緩緩上漲
11   6.024792    新日興-◎  電子中游-NB與手機零組件   緩緩上漲
12   8.556968     力旺-●     電子上游-IC-設計  上漲ing
13  11.614703       敦泰     電子上游-IC-設計   緩緩上漲
14   1.755111       通嘉     電子上游-IC-設計  上漲ing
15  -0.738250       德微   電子上游-LED及光元件   緩緩上漲
16   2.287539     上緯投控        傳產-化學工業   緩緩上漲
17  23.819138  日月光投控-◎     電子上游-IC-封測   緩緩上漲
18   1.598715       聯合          傳產-生技     很強
19   0.028538   太景*-KY          傳產-生技   緩緩下跌
20  -8.315881    材料-KY        傳產-化學工業   緩緩下跌
21   3.602627       虹堡     電子下游-商業自動化   緩緩上漲
22  11.579657     信驊-●     電子上游-IC-設計   緩緩上漲
23  -0.168776       建榮  電子上游-PCB-材料設備   緩緩下跌
24   3.594694       高技    電子上游-PCB-製造   緩緩下跌
25  -1.248902       全家          傳產-百貨   緩緩下跌
26   4.218738       擎邦    電子中游-儀器設備工程     很強
27   6.092201       茂達     電子上游-IC-設計   緩緩上漲
28  12.148813       旺矽     電子上游-IC-其他   緩緩上漲
29   1.559956       系微     電子上游-IC-其他   緩緩上漲
30   2.605178   矽力*-KY     電子上游-IC-設計  上漲ing
31   2.004576       迅得    電子中游-儀器設備工程   緩緩上漲
32  -2.227515    訊芯-KY     電子上游-IC-封測   緩緩上漲
33   6.299089      愛普*     電子上游-IC-設計   緩緩上漲
34   0.469666       榮群      電子中游-通訊設備  上漲ing
35  12.069255    宏捷科-◎     電子上游-IC-代工   緩緩上漲
36   7.362088       勤誠        電子中游-機殼   緩緩上漲
37  -0.067075    紅木-KY          傳產-其他   緩緩上漲
38   1.520995       泰銘          傳產-鋼鐵  上漲ing
               分類  node1    node2      node3
0           傳產-電機     很強       力山    3.07(億)
1           傳產-生技   緩緩下跌     美時-◎  -11.67(億)
2     電子上游-PCB-製造  上漲ing    金像電-◎   24.22(億)
3      電子上游-IC-封測   緩緩上漲   京元電子-◎    12.2(億)
4           傳產-觀光   緩緩下跌    美食-KY   -2.09(億)
5      電子上游-IC-通路  下跌ing     文曄-◎   41.65(億)
6           軟體-遊戲   緩緩上漲       華義    0.14(億)
7      電子上游-IC-設計   緩緩上漲       聯傑    0.98(億)
8       電子上游-連接元件   緩緩上漲       優群    4.77(億)
9     電子上游-PCB-製造  上漲ing       宇環    0.79(億)
10  電子中游-NB與手機零組件   緩緩上漲     雙鴻-◎   11.26(億)
11  電子中游-NB與手機零組件   緩緩上漲    新日興-◎    6.02(億)
12     電子上游-IC-設計  上漲ing     力旺-●    8.56(億)
13     電子上游-IC-設計   緩緩上漲       敦泰   11.61(億)
14     電子上游-IC-設計  上漲ing       通嘉    1.76(億)
15   電子上游-LED及光元件   緩緩上漲       德微   -0.74(億)
16        傳產-化學工業   緩緩上漲     上緯投控    2.29(億)
17     電子上游-IC-封測   緩緩上漲  日月光投控-◎   23.82(億)
18          傳產-生技     很強       聯合     1.6(億)
19          傳產-生技   緩緩下跌   太景*-KY    0.03(億)
20        傳產-化學工業   緩緩下跌    材料-KY   -8.32(億)
21     電子下游-商業自動化   緩緩上漲       虹堡     3.6(億)
22     電子上游-IC-設計   緩緩上漲     信驊-●   11.58(億)
23  電子上游-PCB-材料設備   緩緩下跌       建榮   -0.17(億)
24    電子上游-PCB-製造   緩緩下跌       高技    3.59(億)
25          傳產-百貨   緩緩下跌       全家   -1.25(億)
26    電子中游-儀器設備工程     很強       擎邦    4.22(億)
27     電子上游-IC-設計   緩緩上漲       茂達    6.09(億)
28     電子上游-IC-其他   緩緩上漲       旺矽   12.15(億)
29     電子上游-IC-其他   緩緩上漲       系微    1.56(億)
30     電子上游-IC-設計  上漲ing   矽力*-KY    2.61(億)
31    電子中游-儀器設備工程   緩緩上漲       迅得     2.0(億)
32     電子上游-IC-封測   緩緩上漲    訊芯-KY   -2.23(億)
33     電子上游-IC-設計   緩緩上漲      愛普*     6.3(億)
34      電子中游-通訊設備  上漲ing       榮群    0.47(億)
35     電子上游-IC-代工   緩緩上漲    宏捷科-◎   12.07(億)
36        電子中游-機殼   緩緩上漲       勤誠    7.36(億)
37          傳產-其他   緩緩上漲    紅木-KY   -0.07(億)
38          傳產-鋼鐵  上漲ing       泰銘    1.52(億)
    node1    node2      node3          node4
0      很強       力山    3.07(億)          傳產-電機
1    緩緩下跌     美時-◎  -11.67(億)          傳產-生技
2   上漲ing    金像電-◎   24.22(億)    電子上游-PCB-製造
3    緩緩上漲   京元電子-◎    12.2(億)     電子上游-IC-封測
4    緩緩下跌    美食-KY   -2.09(億)          傳產-觀光
5   下跌ing     文曄-◎   41.65(億)     電子上游-IC-通路
6    緩緩上漲       華義    0.14(億)          軟體-遊戲
7    緩緩上漲       聯傑    0.98(億)     電子上游-IC-設計
8    緩緩上漲       優群    4.77(億)      電子上游-連接元件
9   上漲ing       宇環    0.79(億)    電子上游-PCB-製造
10   緩緩上漲     雙鴻-◎   11.26(億)  電子中游-NB與手機零組件
11   緩緩上漲    新日興-◎    6.02(億)  電子中游-NB與手機零組件
12  上漲ing     力旺-●    8.56(億)     電子上游-IC-設計
13   緩緩上漲       敦泰   11.61(億)     電子上游-IC-設計
14  上漲ing       通嘉    1.76(億)     電子上游-IC-設計
15   緩緩上漲       德微   -0.74(億)   電子上游-LED及光元件
16   緩緩上漲     上緯投控    2.29(億)        傳產-化學工業
17   緩緩上漲  日月光投控-◎   23.82(億)     電子上游-IC-封測
18     很強       聯合     1.6(億)          傳產-生技
19   緩緩下跌   太景*-KY    0.03(億)          傳產-生技
20   緩緩下跌    材料-KY   -8.32(億)        傳產-化學工業
21   緩緩上漲       虹堡     3.6(億)     電子下游-商業自動化
22   緩緩上漲     信驊-●   11.58(億)     電子上游-IC-設計
23   緩緩下跌       建榮   -0.17(億)  電子上游-PCB-材料設備
24   緩緩下跌       高技    3.59(億)    電子上游-PCB-製造
25   緩緩下跌       全家   -1.25(億)          傳產-百貨
26     很強       擎邦    4.22(億)    電子中游-儀器設備工程
27   緩緩上漲       茂達    6.09(億)     電子上游-IC-設計
28   緩緩上漲       旺矽   12.15(億)     電子上游-IC-其他
29   緩緩上漲       系微    1.56(億)     電子上游-IC-其他
30  上漲ing   矽力*-KY    2.61(億)     電子上游-IC-設計
31   緩緩上漲       迅得     2.0(億)    電子中游-儀器設備工程
32   緩緩上漲    訊芯-KY   -2.23(億)     電子上游-IC-封測
33   緩緩上漲      愛普*     6.3(億)     電子上游-IC-設計
34  上漲ing       榮群    0.47(億)      電子中游-通訊設備
35   緩緩上漲    宏捷科-◎   12.07(億)     電子上游-IC-代工
36   緩緩上漲       勤誠    7.36(億)        電子中游-機殼
37   緩緩上漲    紅木-KY   -0.07(億)          傳產-其他
38  上漲ing       泰銘    1.52(億)          傳產-鋼鐵
[['TWSE', '很強'], ['TWSE', '上漲ing'], ['TWSE', '緩緩上漲'], ['TWSE', '緩緩下跌'], ['TWSE', '下跌ing'], ['TWSE', '很弱'], ['很強', '力山'], ['緩緩下跌', '美時-◎'], ['上漲ing', '金像電-◎'], ['緩緩上漲', '京元電子-◎'], ['緩緩下跌', '美食-KY'], ['下跌ing', '文曄-◎'], ['緩緩上漲', '華義'], ['緩緩上漲', '聯傑'], ['緩緩上漲', '優群'], ['上漲ing', '宇環'], ['緩緩上漲', '雙鴻-◎'], ['緩緩上漲', '新日興-◎'], ['上漲ing', '力旺-●'], ['緩緩上漲', '敦泰'], ['上漲ing', '通嘉'], ['緩緩上漲', '德微'], ['緩緩上漲', '上緯投控'], ['緩緩上漲', '日月光投控-◎'], ['很強', '聯合'], ['緩緩下跌', '太景*-KY'], ['緩緩下跌', '材料-KY'], ['緩緩上漲', '虹堡'], ['緩緩上漲', '信驊-●'], ['緩緩下跌', '建榮'], ['緩緩下跌', '高技'], ['緩緩下跌', '全家'], ['很強', '擎邦'], ['緩緩上漲', '茂達'], ['緩緩上漲', '旺矽'], ['緩緩上漲', '系微'], ['上漲ing', '矽力*-KY'], ['緩緩上漲', '迅得'], ['緩緩上漲', '訊芯-KY'], ['緩緩上漲', '愛普*'], ['上漲ing', '榮群'], ['緩緩上漲', '宏捷科-◎'], ['緩緩上漲', '勤誠'], ['緩緩上漲', '紅木-KY'], ['上漲ing', '泰銘'], ['力山', '3.07(億)'], ['美時-◎', '-11.67(億)'], ['金像電-◎', '24.22(億)'], ['京元電子-◎', '12.2(億)'], ['美食-KY', '-2.09(億)'], ['文曄-◎', '41.65(億)'], ['華義', '0.14(億)'], ['聯傑', '0.98(億)'], ['優群', '4.77(億)'], ['宇環', '0.79(億)'], ['雙鴻-◎', '11.26(億)'], ['新日興-◎', '6.02(億)'], ['力旺-●', '8.56(億)'], ['敦泰', '11.61(億)'], ['通嘉', '1.76(億)'], ['德微', '-0.74(億)'], ['上緯投控', '2.29(億)'], ['日月光投控-◎', '23.82(億)'], ['聯合', '1.6(億)'], ['太景*-KY', '0.03(億)'], ['材料-KY', '-8.32(億)'], ['虹堡', '3.6(億)'], ['信驊-●', '11.58(億)'], ['建榮', '-0.17(億)'], ['高技', '3.59(億)'], ['全家', '-1.25(億)'], ['擎邦', '4.22(億)'], ['茂達', '6.09(億)'], ['旺矽', '12.15(億)'], ['系微', '1.56(億)'], ['矽力*-KY', '2.61(億)'], ['迅得', '2.0(億)'], ['訊芯-KY', '-2.23(億)'], ['愛普*', '6.3(億)'], ['榮群', '0.47(億)'], ['宏捷科-◎', '12.07(億)'], ['勤誠', '7.36(億)'], ['紅木-KY', '-0.07(億)'], ['泰銘', '1.52(億)']]
         買超概算   區間漲幅       代號             分類
0    3.263212   4.12       亞力          傳產-電機
1    3.674218  34.80       力山          傳產-電機
2    1.839753   2.23       耿鼎       傳產-汽車零組件
3   -4.348471   4.13     美時-◎          傳產-生技
4   27.383903  12.60    華邦電-◎     電子上游-IC-製造
5   17.866505   9.57    金像電-◎    電子上游-PCB-製造
6    1.802818  12.35       精元  電子中游-NB與手機零組件
7   20.707676  22.87     威盛-◎     電子上游-IC-設計
8   -1.205584   2.99    美食-KY          傳產-觀光
9   39.757840 -16.72     文曄-◎     電子上游-IC-通路
10   1.076200   2.53       聯傑     電子上游-IC-設計
11   2.698692   0.33       優群      電子上游-連接元件
12   0.348416  16.32       宇環    電子上游-PCB-製造
13   6.722791   0.91     雙鴻-◎  電子中游-NB與手機零組件
14   6.922194   8.88    新日興-◎  電子中游-NB與手機零組件
15  13.183319  11.59     力旺-●     電子上游-IC-設計
16  17.883698  18.54       敦泰     電子上游-IC-設計
17   2.453904  19.16       通嘉     電子上游-IC-設計
18  -1.005079  -1.61       德微   電子上游-LED及光元件
19  25.282666   7.23  日月光投控-◎     電子上游-IC-封測
20   1.785544  17.69       聯合          傳產-生技
21   3.191209   5.44       台耀          傳產-生技
22   6.521337   5.34     新唐-◎     電子上游-IC-設計
23  -0.200752  -4.12       建榮  電子上游-PCB-材料設備
24   0.640457   2.07     宣德-◎      電子上游-連接元件
25  -1.508652  -1.37       全家          傳產-百貨
26   4.832338   7.80       創惟     電子上游-IC-設計
27   4.316765  40.99       擎邦    電子中游-儀器設備工程
28   6.379708  11.55       茂達     電子上游-IC-設計
29  10.938338   3.95       旺矽     電子上游-IC-其他
30  13.294651  19.38   矽力*-KY     電子上游-IC-設計
31   2.355690   2.88       迅得    電子中游-儀器設備工程
32  -2.177247  11.11    訊芯-KY     電子上游-IC-封測
33  10.911581   8.03      愛普*     電子上游-IC-設計
34   2.359554  20.78      信紘科    電子中游-儀器設備工程
35   0.411320  -1.24       榮群      電子中游-通訊設備
36   1.569121  17.06       安國     電子上游-IC-設計
37  12.117044   4.88    宏捷科-◎     電子上游-IC-代工
38   0.624475   5.13       品安    電子上游-DRAM銷售
39   9.923060   6.44       勤誠        電子中游-機殼
40  12.858129   2.02     群聯-●     電子上游-IC-設計
41   1.888197  18.62       泰銘          傳產-鋼鐵
         買超概算       代號             分類  node1
0    3.263212       亞力          傳產-電機   緩緩上漲
1    3.674218       力山          傳產-電機     很強
2    1.839753       耿鼎       傳產-汽車零組件   緩緩上漲
3   -4.348471     美時-◎          傳產-生技   緩緩上漲
4   27.383903    華邦電-◎     電子上游-IC-製造  上漲ing
5   17.866505    金像電-◎    電子上游-PCB-製造   緩緩上漲
6    1.802818       精元  電子中游-NB與手機零組件  上漲ing
7   20.707676     威盛-◎     電子上游-IC-設計     很強
8   -1.205584    美食-KY          傳產-觀光   緩緩上漲
9   39.757840     文曄-◎     電子上游-IC-通路  下跌ing
10   1.076200       聯傑     電子上游-IC-設計   緩緩上漲
11   2.698692       優群      電子上游-連接元件   緩緩上漲
12   0.348416       宇環    電子上游-PCB-製造  上漲ing
13   6.722791     雙鴻-◎  電子中游-NB與手機零組件   緩緩上漲
14   6.922194    新日興-◎  電子中游-NB與手機零組件   緩緩上漲
15  13.183319     力旺-●     電子上游-IC-設計  上漲ing
16  17.883698       敦泰     電子上游-IC-設計  上漲ing
17   2.453904       通嘉     電子上游-IC-設計  上漲ing
18  -1.005079       德微   電子上游-LED及光元件   緩緩下跌
19  25.282666  日月光投控-◎     電子上游-IC-封測   緩緩上漲
20   1.785544       聯合          傳產-生技  上漲ing
21   3.191209       台耀          傳產-生技   緩緩上漲
22   6.521337     新唐-◎     電子上游-IC-設計   緩緩上漲
23  -0.200752       建榮  電子上游-PCB-材料設備   緩緩下跌
24   0.640457     宣德-◎      電子上游-連接元件   緩緩上漲
25  -1.508652       全家          傳產-百貨   緩緩下跌
26   4.832338       創惟     電子上游-IC-設計   緩緩上漲
27   4.316765       擎邦    電子中游-儀器設備工程     很強
28   6.379708       茂達     電子上游-IC-設計  上漲ing
29  10.938338       旺矽     電子上游-IC-其他   緩緩上漲
30  13.294651   矽力*-KY     電子上游-IC-設計  上漲ing
31   2.355690       迅得    電子中游-儀器設備工程   緩緩上漲
32  -2.177247    訊芯-KY     電子上游-IC-封測  上漲ing
33  10.911581      愛普*     電子上游-IC-設計   緩緩上漲
34   2.359554      信紘科    電子中游-儀器設備工程     很強
35   0.411320       榮群      電子中游-通訊設備   緩緩下跌
36   1.569121       安國     電子上游-IC-設計  上漲ing
37  12.117044    宏捷科-◎     電子上游-IC-代工   緩緩上漲
38   0.624475       品安    電子上游-DRAM銷售   緩緩上漲
39   9.923060       勤誠        電子中游-機殼   緩緩上漲
40  12.858129     群聯-●     電子上游-IC-設計   緩緩上漲
41   1.888197       泰銘          傳產-鋼鐵  上漲ing
               分類  node1    node2     node3
0           傳產-電機   緩緩上漲       亞力   3.26(億)
1           傳產-電機     很強       力山   3.67(億)
2        傳產-汽車零組件   緩緩上漲       耿鼎   1.84(億)
3           傳產-生技   緩緩上漲     美時-◎  -4.35(億)
4      電子上游-IC-製造  上漲ing    華邦電-◎  27.38(億)
5     電子上游-PCB-製造   緩緩上漲    金像電-◎  17.87(億)
6   電子中游-NB與手機零組件  上漲ing       精元    1.8(億)
7      電子上游-IC-設計     很強     威盛-◎  20.71(億)
8           傳產-觀光   緩緩上漲    美食-KY  -1.21(億)
9      電子上游-IC-通路  下跌ing     文曄-◎  39.76(億)
10     電子上游-IC-設計   緩緩上漲       聯傑   1.08(億)
11      電子上游-連接元件   緩緩上漲       優群    2.7(億)
12    電子上游-PCB-製造  上漲ing       宇環   0.35(億)
13  電子中游-NB與手機零組件   緩緩上漲     雙鴻-◎   6.72(億)
14  電子中游-NB與手機零組件   緩緩上漲    新日興-◎   6.92(億)
15     電子上游-IC-設計  上漲ing     力旺-●  13.18(億)
16     電子上游-IC-設計  上漲ing       敦泰  17.88(億)
17     電子上游-IC-設計  上漲ing       通嘉   2.45(億)
18   電子上游-LED及光元件   緩緩下跌       德微  -1.01(億)
19     電子上游-IC-封測   緩緩上漲  日月光投控-◎  25.28(億)
20          傳產-生技  上漲ing       聯合   1.79(億)
21          傳產-生技   緩緩上漲       台耀   3.19(億)
22     電子上游-IC-設計   緩緩上漲     新唐-◎   6.52(億)
23  電子上游-PCB-材料設備   緩緩下跌       建榮   -0.2(億)
24      電子上游-連接元件   緩緩上漲     宣德-◎   0.64(億)
25          傳產-百貨   緩緩下跌       全家  -1.51(億)
26     電子上游-IC-設計   緩緩上漲       創惟   4.83(億)
27    電子中游-儀器設備工程     很強       擎邦   4.32(億)
28     電子上游-IC-設計  上漲ing       茂達   6.38(億)
29     電子上游-IC-其他   緩緩上漲       旺矽  10.94(億)
30     電子上游-IC-設計  上漲ing   矽力*-KY  13.29(億)
31    電子中游-儀器設備工程   緩緩上漲       迅得   2.36(億)
32     電子上游-IC-封測  上漲ing    訊芯-KY  -2.18(億)
33     電子上游-IC-設計   緩緩上漲      愛普*  10.91(億)
34    電子中游-儀器設備工程     很強      信紘科   2.36(億)
35      電子中游-通訊設備   緩緩下跌       榮群   0.41(億)
36     電子上游-IC-設計  上漲ing       安國   1.57(億)
37     電子上游-IC-代工   緩緩上漲    宏捷科-◎  12.12(億)
38    電子上游-DRAM銷售   緩緩上漲       品安   0.62(億)
39        電子中游-機殼   緩緩上漲       勤誠   9.92(億)
40     電子上游-IC-設計   緩緩上漲     群聯-●  12.86(億)
41          傳產-鋼鐵  上漲ing       泰銘   1.89(億)
    node1    node2     node3          node4
0    緩緩上漲       亞力   3.26(億)          傳產-電機
1      很強       力山   3.67(億)          傳產-電機
2    緩緩上漲       耿鼎   1.84(億)       傳產-汽車零組件
3    緩緩上漲     美時-◎  -4.35(億)          傳產-生技
4   上漲ing    華邦電-◎  27.38(億)     電子上游-IC-製造
5    緩緩上漲    金像電-◎  17.87(億)    電子上游-PCB-製造
6   上漲ing       精元    1.8(億)  電子中游-NB與手機零組件
7      很強     威盛-◎  20.71(億)     電子上游-IC-設計
8    緩緩上漲    美食-KY  -1.21(億)          傳產-觀光
9   下跌ing     文曄-◎  39.76(億)     電子上游-IC-通路
10   緩緩上漲       聯傑   1.08(億)     電子上游-IC-設計
11   緩緩上漲       優群    2.7(億)      電子上游-連接元件
12  上漲ing       宇環   0.35(億)    電子上游-PCB-製造
13   緩緩上漲     雙鴻-◎   6.72(億)  電子中游-NB與手機零組件
14   緩緩上漲    新日興-◎   6.92(億)  電子中游-NB與手機零組件
15  上漲ing     力旺-●  13.18(億)     電子上游-IC-設計
16  上漲ing       敦泰  17.88(億)     電子上游-IC-設計
17  上漲ing       通嘉   2.45(億)     電子上游-IC-設計
18   緩緩下跌       德微  -1.01(億)   電子上游-LED及光元件
19   緩緩上漲  日月光投控-◎  25.28(億)     電子上游-IC-封測
20  上漲ing       聯合   1.79(億)          傳產-生技
21   緩緩上漲       台耀   3.19(億)          傳產-生技
22   緩緩上漲     新唐-◎   6.52(億)     電子上游-IC-設計
23   緩緩下跌       建榮   -0.2(億)  電子上游-PCB-材料設備
24   緩緩上漲     宣德-◎   0.64(億)      電子上游-連接元件
25   緩緩下跌       全家  -1.51(億)          傳產-百貨
26   緩緩上漲       創惟   4.83(億)     電子上游-IC-設計
27     很強       擎邦   4.32(億)    電子中游-儀器設備工程
